Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,120.49,-51.48,90,bottom
C2,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,118.15,-46.2,45,bottom
C3,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,112.2,-40.95,45,bottom
C4,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,106.1,-59.8,315,bottom
C5,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,101.3,-42.9,45,bottom
C6,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,99.8,-41.4,225,bottom
C7,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,96.8,-50.6,90,bottom
D1,D,D_SOD-123,21.7,-30.2,0,bottom
D2,D,D_SOD-123,21.7,-25.2,0,bottom
D3,D,D_SOD-123,21.7,-33,0,bottom
D4,D,D_SOD-123,21.5,-49.4,0,bottom
D5,D,D_SOD-123,21.5,-65.8,0,bottom
D6,D,D_SOD-123,21.3,-82.2,0,bottom
D7,D,D_SOD-123,21.5,-98.6,0,bottom
D9,D,D_SOD-123,38.3,-32.8,0,bottom
D10,D,D_SOD-123,37.3,-49.4,0,bottom
D11,D,D_SOD-123,34.1,-65.8,0,bottom
D12,D,D_SOD-123,38.5,-82.2,0,bottom
D13,D,D_SOD-123,38.5,-98.6,0,bottom
D14,D,D_SOD-123,63.7,-46.6,0,bottom
D15,D,D_SOD-123,53.9,-33.6,0,bottom
D16,D,D_SOD-123,63.7,-49.4,0,bottom
D17,D,D_SOD-123,55.1,-65.8,0,bottom
D18,D,D_SOD-123,55.1,-82.2,0,bottom
D19,D,D_SOD-123,55.1,-98.6,0,bottom
D20,D,D_SOD-123,71.9,-33,0,bottom
D21,D,D_SOD-123,72.1,-49.4,0,bottom
D22,D,D_SOD-123,72.1,-65.8,0,bottom
D23,D,D_SOD-123,71.7,-82.2,0,bottom
D24,D,D_SOD-123,70.9,-98.9,0,bottom
D25,D,D_SOD-123,72.1,-63,0,bottom
D26,D,D_SOD-123,81.925,-33,0,bottom
D27,D,D_SOD-123,89.5,-49.4,0,bottom
D28,D,D_SOD-123,92.7,-65.8,0,bottom
D29,D,D_SOD-123,88.5,-82.2,0,bottom
D30,D,D_SOD-123,84.8,-98.6,0,bottom
D31,D,D_SOD-123,105.7,-26.6,0,bottom
D32,D,D_SOD-123,125.5,-49.4,0,bottom
D33,D,D_SOD-123,113.7,-65.8,0,bottom
D34,D,D_SOD-123,105.7,-82.2,0,bottom
D35,D,D_SOD-123,105.3,-98.6,0,bottom
D36,D,D_SOD-123,121.7,-79.4,0,bottom
D37,D,D_SOD-123,122.3,-26.6,0,bottom
D38,D,D_SOD-123,130.9,-49.4,0,bottom
D39,D,D_SOD-123,130.5,-65.8,0,bottom
D40,D,D_SOD-123,121.7,-82.2,0,bottom
D41,D,D_SOD-123,122.5,-98.6,0,bottom
D42,D,D_SOD-123,139.1,-26.6,0,bottom
D43,D,D_SOD-123,147.5,-49.4,0,bottom
D44,D,D_SOD-123,156.3,-65.8,0,bottom
D45,D,D_SOD-123,138.9,-82.2,0,bottom
D46,D,D_SOD-123,134.7,-98.6,0,bottom
D47,D,D_SOD-123,156.1,-96,0,bottom
D48,D,D_SOD-123,155.9,-33,0,bottom
D49,D,D_SOD-123,164.3,-49.4,0,bottom
D50,D,D_SOD-123,164.1,-65.8,0,bottom
D51,D,D_SOD-123,155.7,-82.2,0,bottom
D52,D,D_SOD-123,156.1,-98.6,0,bottom
D54,D,D_SOD-123,171.6,-33.4,0,bottom
D55,D,D_SOD-123,181.1,-49.4,0,bottom
D56,D,D_SOD-123,181.1,-65.8,0,bottom
D57,D,D_SOD-123,172.7,-82.2,0,bottom
D58,D,D_SOD-123,168.3,-98.6,0,bottom
D59,D,D_SOD-123,189.5,-30.2,0,bottom
D60,D,D_SOD-123,189.5,-33,0,bottom
D61,D,D_SOD-123,197.9,-49.4,0,bottom
D62,D,D_SOD-123,197.9,-65.8,0,bottom
D63,D,D_SOD-123,189.5,-82.2,0,bottom
D64,D,D_SOD-123,187.9,-98.6,0,bottom
D66,D,D_SOD-123,205.2,-33.4,0,bottom
D67,D,D_SOD-123,214.7,-49.4,0,bottom
D68,D,D_SOD-123,214.7,-65.8,0,bottom
D69,D,D_SOD-123,206.3,-82.2,0,bottom
D70,D,D_SOD-123,209.7,-98.6,0,bottom
D71,D,D_SOD-123,231.3,-46.6,0,bottom
D72,D,D_SOD-123,223.1,-33,0,bottom
D73,D,D_SOD-123,231.3,-49.4,0,bottom
D74,D,D_SOD-123,231.5,-65.8,0,bottom
D75,D,D_SOD-123,223.1,-82.2,0,bottom
D76,D,D_SOD-123,216.1,-98.6,0,bottom
D78,D,D_SOD-123,238.9,-33.4,0,bottom
D79,D,D_SOD-123,248.5,-49.4,0,bottom
D80,D,D_SOD-123,248.5,-65.8,0,bottom
D81,D,D_SOD-123,240.1,-82.2,0,bottom
D82,D,D_SOD-123,235.9,-98.6,0,bottom
D83,D,D_SOD-123,265.3,-63,0,bottom
D84,D,D_SOD-123,256.7,-33,0,bottom
D85,D,D_SOD-123,265.3,-49.4,0,bottom
D86,D,D_SOD-123,265.3,-65.8,0,bottom
D87,D,D_SOD-123,256.7,-82.2,0,bottom
D88,D,D_SOD-123,266.7,-98.6,0,bottom
D90,D,D_SOD-123,263.15,-35.35,0,bottom
D91,D,D_SOD-123,273.5,-82.2,0,bottom
D92,D,D_SOD-123,272.7,-98.6,0,bottom
D93,D,D_SOD-123,283.5,-85,0,bottom
D94,D,D_SOD-123,282.9,-95.8,0,bottom
D95,D,D_SOD-123,286.1,-33,0,bottom
D96,D,D_SOD-123,286.1,-49.4,0,bottom
D97,D,D_SOD-123,285.9,-65.8,0,bottom
D98,D,D_SOD-123,283.5,-82.2,0,bottom
D99,D,D_SOD-123,282.9,-98.6,0,bottom
D102,PRTR5V0U2X,SOT-143,34.1,-26.95,0,bottom
F1,500mA,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,42.05,-20.85,90,bottom
R1,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,28.5,-28.8,180,bottom
R4,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,34.1,-63.3,0,bottom
R5,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,25,-18.9,0,bottom
R6,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,25,-21.2,0,bottom
R7,22,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,38.3,-26.1,180,bottom
R8,22,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,38.3,-28.35,180,bottom
R9,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,104.592893,-61.292893,315,bottom
ResetSW1,5.2x5.2mm,SW_SPST_SKQG_WithStem,41.1,-65.2,0,bottom
U1,ATmega32U4-MU,QFN-44-1EP_7x7mm_Pitch0.5mm,107.3,-49.6,315,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,115.3,-43.45,135,bottom